1,3,4,5,6,7,8
1,3,4,5,7,6,8
1,3,4,6,5,7,8
1,3,4,6,7,5,8
1,3,4,7,5,6,8
1,3,4,7,6,5,8
1,3,5,4,6,7,8
1,3,5,4,7,6,8
1,3,5,6,4,7,8
1,3,5,6,7,4,8
1,3,5,7,4,6,8
1,3,5,7,6,4,8
1,3,6,4,5,7,8
1,3,6,4,7,5,8
1,3,6,5,4,7,8
1,3,6,5,7,4,8
1,3,6,7,4,5,8
1,3,6,7,5,4,8
1,3,7,4,5,6,8
1,3,7,4,6,5,8
1,3,7,5,4,6,8
1,3,7,5,6,4,8
1,3,7,6,4,5,8
1,3,7,6,5,4,8
1,4,3,5,6,7,8
1,4,3,5,7,6,8
1,4,3,6,5,7,8
1,4,3,6,7,5,8
1,4,3,7,5,6,8
1,4,3,7,6,5,8
1,4,5,3,6,7,8
1,4,5,3,7,6,8
1,4,5,6,3,7,8
1,4,5,6,7,3,8
1,4,5,7,3,6,8
1,4,5,7,6,3,8
1,4,6,3,5,7,8
1,4,6,3,7,5,8
1,4,6,5,3,7,8
1,4,6,5,7,3,8
1,4,6,7,3,5,8
1,4,6,7,5,3,8
1,4,7,3,5,6,8
1,4,7,3,6,5,8
1,4,7,5,3,6,8
1,4,7,5,6,3,8
1,4,7,6,3,5,8
1,4,7,6,5,3,8
1,5,3,4,6,7,8
1,5,3,4,7,6,8
1,5,3,6,4,7,8
1,5,3,6,7,4,8
1,5,3,7,4,6,8
1,5,3,7,6,4,8
1,5,4,3,6,7,8
1,5,4,3,7,6,8
1,5,4,6,3,7,8
1,5,4,6,7,3,8
1,5,4,7,3,6,8
1,5,4,7,6,3,8
1,5,6,3,4,7,8
1,5,6,3,7,4,8
1,5,6,4,3,7,8
1,5,6,4,7,3,8
1,5,6,7,3,4,8
1,5,6,7,4,3,8
1,5,7,3,4,6,8
1,5,7,3,6,4,8
1,5,7,4,3,6,8
1,5,7,4,6,3,8
1,5,7,6,3,4,8
1,5,7,6,4,3,8
1,6,3,4,5,7,8
1,6,3,4,7,5,8
1,6,3,5,4,7,8
1,6,3,5,7,4,8
1,6,3,7,4,5,8
1,6,3,7,5,4,8
1,6,4,3,5,7,8
1,6,4,3,7,5,8
1,6,4,5,3,7,8
1,6,4,5,7,3,8
1,6,4,7,3,5,8
1,6,4,7,5,3,8
1,6,5,3,4,7,8
1,6,5,3,7,4,8
1,6,5,4,3,7,8
1,6,5,4,7,3,8
1,6,5,7,3,4,8
1,6,5,7,4,3,8
1,6,7,3,4,5,8
1,6,7,3,5,4,8
1,6,7,4,3,5,8
1,6,7,4,5,3,8
1,6,7,5,3,4,8
1,6,7,5,4,3,8
1,7,3,4,5,6,8
1,7,3,4,6,5,8
1,7,3,5,4,6,8
1,7,3,5,6,4,8
1,7,3,6,4,5,8
1,7,3,6,5,4,8
1,7,4,3,5,6,8
1,7,4,3,6,5,8
1,7,4,5,3,6,8
1,7,4,5,6,3,8
1,7,4,6,3,5,8
1,7,4,6,5,3,8
1,7,5,3,4,6,8
1,7,5,3,6,4,8
1,7,5,4,3,6,8
1,7,5,4,6,3,8
1,7,5,6,3,4,8
1,7,5,6,4,3,8
1,7,6,3,4,5,8
1,7,6,3,5,4,8
1,7,6,4,3,5,8
1,7,6,4,5,3,8
1,7,6,5,3,4,8
1,7,6,5,4,3,8
